date,merchant,amount,category,account
2025-08-01,ACME PAYROLL,2841.50,income,checking
2025-08-01,METRO TRANSIT,-2.75,transport,checking
2025-08-01,OAKWOOD APARTMENTS,-1450.00,rent,checking
2025-08-02,METRO TRANSIT,-2.75,transport,checking
2025-08-02,BLUE BOTTLE COFFEE,-6.45,coffee,credit
2025-08-02,THAI SPICE,-19.50,dining,credit
2025-08-03,METRO TRANSIT,-2.75,transport,checking
2025-08-03,APPLE.COM/BILL ICLOUD,-2.99,subscriptions,credit
2025-08-03,THAI SPICE,-27.35,dining,credit
2025-08-03,TRADER JOE'S #551,-67.98,groceries,credit
2025-08-03,UBER *TRIP,-21.93,transport,credit
2025-08-04,METRO TRANSIT,-2.75,transport,checking
2025-08-04,SHELL OIL 5741,-38.75,transport,credit
2025-08-05,PLANET FITNESS #1123,-24.99,subscriptions,checking
2025-08-05,AMAZON MKTPLACE PMTS,-24.90,shopping,credit
2025-08-06,METRO TRANSIT,-2.75,transport,checking
2025-08-06,STARBUCKS #2231,-5.69,coffee,credit
2025-08-07,METRO TRANSIT,-2.75,transport,checking
2025-08-07,BLUE BOTTLE COFFEE,-5.58,coffee,credit
2025-08-07,NETFLIX.COM,-15.49,subscriptions,credit
2025-08-07,PANERA BREAD #601,-21.40,dining,credit
2025-08-08,METRO TRANSIT,-2.75,transport,checking
2025-08-08,UBER *TRIP,-20.46,transport,credit
2025-08-09,METRO TRANSIT,-2.75,transport,checking
2025-08-09,PANERA BREAD #601,-26.65,dining,credit
2025-08-09,UBER *TRIP,-20.53,transport,credit
2025-08-10,COMCAST CABLE COMM,-69.99,utilities,checking
2025-08-10,TRADER JOE'S #551,-76.69,groceries,credit
2025-08-11,CVS/PHARMACY #0921,-23.15,health,credit
2025-08-12,METRO TRANSIT,-2.75,transport,checking
2025-08-12,BLUE BOTTLE COFFEE,-6.08,coffee,credit
2025-08-12,KROGER #412,-69.70,groceries,credit
2025-08-12,SPOTIFY USA,-11.99,subscriptions,credit
2025-08-13,METRO TRANSIT,-2.75,transport,checking
2025-08-14,ACME PAYROLL,2841.50,income,checking
2025-08-14,METRO TRANSIT,-2.75,transport,checking
2025-08-14,AMC THEATRES 0412,-30.52,entertainment,credit
2025-08-14,BLUE BOTTLE COFFEE,-6.47,coffee,credit
