date,merchant,amount,category,account
2025-07-31,ACME PAYROLL,2841.50,income,checking
2025-08-01,METRO TRANSIT,-2.75,transport,checking
2025-08-01,CHIPOTLE 1123,-27.09,dining,credit
2025-08-01,STARBUCKS #2231,-4.83,coffee,credit
2025-08-02,OAKWOOD APARTMENTS,-1450.00,rent,checking
2025-08-02,PANERA BREAD #601,-21.76,dining,credit
2025-08-02,TARGET T-1432,-47.91,shopping,credit
2025-08-03,APPLE.COM/BILL ICLOUD,-2.99,subscriptions,credit
2025-08-03,UBER *TRIP,-24.17,transport,credit
2025-08-05,METRO TRANSIT,-2.75,transport,checking
2025-08-05,PLANET FITNESS #1123,-24.99,subscriptions,checking
2025-08-05,STARBUCKS #2231,-4.65,coffee,credit
2025-08-06,STARBUCKS #2231,-5.47,coffee,credit
2025-08-07,METRO TRANSIT,-2.75,transport,checking
2025-08-07,AMAZON MKTPLACE PMTS,-18.57,shopping,credit
2025-08-07,BLUE BOTTLE COFFEE,-6.67,coffee,credit
2025-08-07,NETFLIX.COM,-15.49,subscriptions,credit
2025-08-07,SHELL OIL 5741,-35.90,transport,credit
2025-08-08,PANERA BREAD #601,-18.05,dining,credit
2025-08-08,TRADER JOE'S #551,-70.82,groceries,credit
2025-08-09,METRO TRANSIT,-2.75,transport,checking
2025-08-09,KROGER #412,-73.18,groceries,credit
2025-08-09,PANERA BREAD #601,-15.58,dining,credit
2025-08-10,COMCAST CABLE COMM,-69.99,utilities,checking
2025-08-10,THAI SPICE,-22.66,dining,credit
2025-08-11,METRO TRANSIT,-2.75,transport,checking
2025-08-12,METRO TRANSIT,-2.75,transport,checking
2025-08-12,BLUE BOTTLE COFFEE,-5.02,coffee,credit
2025-08-12,SPOTIFY USA,-11.99,subscriptions,credit
2025-08-13,METRO TRANSIT,-2.75,transport,checking
2025-08-13,BLUE BOTTLE COFFEE,-5.45,coffee,credit
2025-08-13,PANERA BREAD #601,-19.88,dining,credit
2025-08-14,ACME PAYROLL,2841.50,income,checking
2025-08-14,METRO TRANSIT,-2.75,transport,checking
2025-08-14,AMAZON MKTPLACE PMTS,-31.12,shopping,credit
2025-08-14,AMC THEATRES 0412,-28.64,entertainment,credit
2025-08-14,UBER *TRIP,-21.72,transport,credit
2025-08-15,CITY POWER & LIGHT,-74.25,utilities,checking
2025-08-15,METRO TRANSIT,-2.75,transport,checking
2025-08-15,PANERA BREAD #601,-17.92,dining,credit
2025-08-17,TRADER JOE'S #551,-71.69,groceries,credit
2025-08-18,AMAZON MKTPLACE PMTS,-18.37,shopping,credit
2025-08-18,HULU 877-8244858,-7.99,subscriptions,credit
2025-08-18,STARBUCKS #2231,-5.35,coffee,credit
2025-08-19,SHELL OIL 5741,-42.65,transport,credit
2025-08-19,STARBUCKS #2231,-4.93,coffee,credit
2025-08-20,METRO TRANSIT,-2.75,transport,checking
2025-08-20,METRO WATER DEPT,-35.71,utilities,checking
2025-08-21,METRO TRANSIT,-2.75,transport,checking
2025-08-21,UBER *TRIP,-22.26,transport,credit
2025-08-22,METRO TRANSIT,-2.75,transport,checking
2025-08-22,BLUE BOTTLE COFFEE,-5.31,coffee,credit
2025-08-22,NYTIMES DIGITAL,-17.00,subscriptions,credit
2025-08-22,THAI SPICE,-27.31,dining,credit
2025-08-22,UBER *TRIP,-31.06,transport,credit
2025-08-23,METRO TRANSIT,-2.75,transport,checking
2025-08-23,BEST BUY 00412,-895.07,shopping,credit
2025-08-23,TRADER JOE'S #551,-48.57,groceries,credit
2025-08-24,METRO TRANSIT,-2.75,transport,checking
2025-08-25,METRO TRANSIT,-2.75,transport,checking
2025-08-25,BLUE BOTTLE COFFEE,-5.01,coffee,credit
2025-08-25,THAI SPICE,-12.60,dining,credit
2025-08-26,METRO TRANSIT,-2.75,transport,checking
2025-08-27,METRO TRANSIT,-2.75,transport,checking
2025-08-27,STARBUCKS #2231,-5.26,coffee,credit
2025-08-28,ACME PAYROLL,2841.50,income,checking
2025-08-28,CVS/PHARMACY #0921,-16.12,health,credit
2025-08-28,KROGER #412,-94.01,groceries,credit
2025-08-28,STARBUCKS #2231,-5.58,coffee,credit
2025-08-29,SHELL OIL 5741,-40.29,transport,credit
2025-08-29,STARBUCKS #2231,-5.63,coffee,credit
2025-08-29,TRADER JOE'S #551,-56.95,groceries,credit
2025-08-30,CHIPOTLE 1123,-26.54,dining,credit
2025-08-31,CHIPOTLE 1123,-24.81,dining,credit
2025-09-01,METRO TRANSIT,-2.75,transport,checking
2025-09-01,OAKWOOD APARTMENTS,-1450.00,rent,checking
2025-09-01,KROGER #412,-72.69,groceries,credit
2025-09-01,STARBUCKS #2231,-5.58,coffee,credit
2025-09-01,TARGET T-1432,-64.10,shopping,credit
2025-09-02,METRO TRANSIT,-2.75,transport,checking
2025-09-02,BLUE BOTTLE COFFEE,-5.70,coffee,credit
2025-09-03,METRO TRANSIT,-2.75,transport,checking
2025-09-03,APPLE.COM/BILL ICLOUD,-2.99,subscriptions,credit
2025-09-03,STARBUCKS #2231,-5.62,coffee,credit
2025-09-04,METRO TRANSIT,-2.75,transport,checking
2025-09-04,CHIPOTLE 1123,-29.39,dining,credit
2025-09-04,WHOLE FOODS MKT,-71.23,groceries,credit
2025-09-05,PLANET FITNESS #1123,-24.99,subscriptions,checking
2025-09-06,METRO TRANSIT,-2.75,transport,checking
2025-09-06,PANERA BREAD #601,-18.26,dining,credit
2025-09-06,UBER *TRIP,-29.00,transport,credit
2025-09-07,NETFLIX.COM,-15.49,subscriptions,credit
2025-09-07,STARBUCKS #2231,-5.15,coffee,credit
2025-09-08,METRO TRANSIT,-2.75,transport,checking
2025-09-08,AMC THEATRES 0412,-21.92,entertainment,credit
2025-09-08,KROGER #412,-75.17,groceries,credit
2025-09-08,SHELL OIL 5741,-45.01,transport,credit
2025-09-08,THAI SPICE,-12.06,dining,credit
2025-09-09,METRO TRANSIT,-2.75,transport,checking
2025-09-09,STARBUCKS #2231,-5.70,coffee,credit
2025-09-10,COMCAST CABLE COMM,-69.99,utilities,checking
2025-09-10,UBER *TRIP,-12.55,transport,credit
2025-09-11,ACME PAYROLL,2841.50,income,checking
2025-09-11,METRO TRANSIT,-2.75,transport,checking
2025-09-11,STARBUCKS #2231,-5.74,coffee,credit
2025-09-11,THAI SPICE,-20.57,dining,credit
2025-09-12,METRO TRANSIT,-2.75,transport,checking
2025-09-12,SPOTIFY USA,-11.99,subscriptions,credit
2025-09-12,UBER *TRIP,-17.07,transport,credit
2025-09-13,METRO TRANSIT,-2.75,transport,checking
2025-09-14,PANERA BREAD #601,-20.79,dining,credit
2025-09-14,WHOLE FOODS MKT,-79.75,groceries,credit
2025-09-15,CITY POWER & LIGHT,-81.18,utilities,checking
2025-09-15,CVS/PHARMACY #0921,-20.90,health,credit
2025-09-15,STARBUCKS #2231,-5.67,coffee,credit
2025-09-16,METRO TRANSIT,-2.75,transport,checking
2025-09-17,METRO TRANSIT,-2.75,transport,checking
2025-09-18,HULU 877-8244858,-7.99,subscriptions,credit
2025-09-18,PANERA BREAD #601,-20.86,dining,credit
2025-09-19,BLUE BOTTLE COFFEE,-5.96,coffee,credit
2025-09-20,METRO TRANSIT,-2.75,transport,checking
2025-09-20,METRO WATER DEPT,-33.11,utilities,checking
2025-09-20,AMAZON MKTPLACE PMTS,-23.37,shopping,credit
2025-09-20,BLUE BOTTLE COFFEE,-6.55,coffee,credit
2025-09-20,SHELL OIL 5741,-31.69,transport,credit
2025-09-20,WHOLE FOODS MKT,-55.84,groceries,credit
2025-09-21,STARBUCKS #2231,-5.70,coffee,credit
2025-09-22,METRO TRANSIT,-2.75,transport,checking
2025-09-22,BLUE BOTTLE COFFEE,-4.53,coffee,credit
2025-09-22,NYTIMES DIGITAL,-17.00,subscriptions,credit
2025-09-22,UBER *TRIP,-13.37,transport,credit
2025-09-23,METRO TRANSIT,-2.75,transport,checking
2025-09-23,BLUE BOTTLE COFFEE,-5.00,coffee,credit
2025-09-23,CHIPOTLE 1123,-22.74,dining,credit
2025-09-25,ACME PAYROLL,2841.50,income,checking
2025-09-25,METRO TRANSIT,-2.75,transport,checking
