Transaction Date,Description ,Amount,Transaction Type
09/30/2026,METRO TRANSIT,$2.75,DEBIT
09/29/2026,THAI SPICE,$23.54,DEBIT
09/29/2026,METRO TRANSIT,$2.75,DEBIT
09/28/2026,BLUE BOTTLE COFFEE,$5.78,DEBIT
09/27/2026,SHELL OIL 5741,$47.84,DEBIT
09/25/2026,THAI SPICE,$13.76,DEBIT
09/25/2026,KROGER #412,$59.40,DEBIT
09/25/2026,METRO TRANSIT,$2.75,DEBIT
09/25/2026,ACME PAYROLL,"$2,841.50",CREDIT
09/24/2026,UBER *TRIP,$14.53,DEBIT
09/24/2026,BLUE BOTTLE COFFEE,$5.69,DEBIT
09/24/2026,METRO TRANSIT,$2.75,DEBIT
09/23/2026,UBER *TRIP,$19.17,DEBIT
09/23/2026,THAI SPICE,$21.33,DEBIT
09/23/2026,BLUE BOTTLE COFFEE,$5.90,DEBIT
09/23/2026,METRO TRANSIT,$2.75,DEBIT
09/22/2026,NYTIMES DIGITAL,$17.00,DEBIT
09/22/2026,METRO TRANSIT,$2.75,DEBIT
09/21/2026,CLOUDVAULT BACKUP,$18.02,DEBIT
09/21/2026,METRO TRANSIT,$2.75,DEBIT
09/20/2026,STARBUCKS #2231,$6.49,DEBIT
09/20/2026,METRO WATER DEPT,$37.18,DEBIT
09/19/2026,THAI SPICE,$23.29,DEBIT
09/19/2026,METRO TRANSIT,$2.75,DEBIT
09/18/2026,HULU 877-8244858,$7.99,DEBIT
09/18/2026,CHIPOTLE 1123,$14.88,DEBIT
09/17/2026,WHOLE FOODS MKT,$67.90,DEBIT
09/17/2026,UBER *TRIP,$21.22,DEBIT
09/17/2026,METRO TRANSIT,$2.75,DEBIT
09/16/2026,UBER *TRIP,$18.37,DEBIT
09/16/2026,SHELL OIL 5741,$39.87,DEBIT
09/16/2026,BLUE BOTTLE COFFEE,$4.70,DEBIT
09/16/2026,METRO TRANSIT,$2.75,DEBIT
09/15/2026,THAI SPICE,$19.12,DEBIT
09/15/2026,TARGET T-1432,$32.12,DEBIT
09/15/2026,METRO TRANSIT,$2.75,DEBIT
09/15/2026,CITY POWER & LIGHT,$84.96,DEBIT
09/14/2026,AUDIBLE*MEMBERSHIP,$15.99,DEBIT
09/14/2026,METRO TRANSIT,$2.75,DEBIT
09/13/2026,STARBUCKS #2231,$5.41,DEBIT
09/13/2026,CORNER BISTRO,$38.50,DEBIT
09/13/2026,CHIPOTLE 1123,$20.91,DEBIT
09/12/2026,WHOLE FOODS MKT,$47.56,DEBIT
09/12/2026,SPOTIFY USA,$11.99,DEBIT
09/12/2026,CVS/PHARMACY #0921,$17.50,DEBIT
09/12/2026,CORNER BISTRO,$38.50,DEBIT
09/12/2026,METRO TRANSIT,$2.75,DEBIT
09/11/2026,UBER *TRIP,$9.57,DEBIT
09/11/2026,ACME PAYROLL,"$2,841.50",CREDIT
09/10/2026,TRADER JOE'S #551,$60.95,DEBIT
09/10/2026,METRO TRANSIT,$2.75,DEBIT
